email,password
joko.putri1@dummy.com,password123
lina.putri2@dummy.com,password123
budi.pratiwi3@dummy.com,password123
zahra.saputra4@dummy.com,password123
bella.nugroho5@dummy.com,password123
dewi.hidayat6@dummy.com,password123
wawan.lestari7@dummy.com,password123
hadi.wijaya8@dummy.com,password123
joko.saputra9@dummy.com,password123
sari.gunawan10@dummy.com,password123
teguh.wijaya11@dummy.com,password123
umi.setiawan12@dummy.com,password123
hadi.purnomo13@dummy.com,password123
bella.gunawan14@dummy.com,password123
qori.putri15@dummy.com,password123
umi.pratiwi16@dummy.com,password123
wawan.kusuma17@dummy.com,password123
dina.lestari18@dummy.com,password123
farhan.putri19@dummy.com,password123
putri.saputra20@dummy.com,password123
hadi.santoso21@dummy.com,password123
vina.hidayat22@dummy.com,password123
kartika.wulandari23@dummy.com,password123
budi.gunawan24@dummy.com,password123
vina.kusuma25@dummy.com,password123
teguh.mulyani26@dummy.com,password123
joko.saputra27@dummy.com,password123
agus.hidayat28@dummy.com,password123
putri.putri29@dummy.com,password123
rudi.hidayat30@dummy.com,password123
farhan.wijaya31@dummy.com,password123
cahyo.wulandari32@dummy.com,password123
lina.nugroho33@dummy.com,password123
putri.utami34@dummy.com,password123
qori.saputra35@dummy.com,password123
nadia.wulandari36@dummy.com,password123
andi.purnomo37@dummy.com,password123
lina.hartono38@dummy.com,password123
maman.setiawan39@dummy.com,password123
joko.saputra40@dummy.com,password123
maman.setiawan41@dummy.com,password123
lina.nugroho42@dummy.com,password123
zahra.hidayat43@dummy.com,password123
qori.hartono44@dummy.com,password123
teguh.purnomo45@dummy.com,password123
eka.hidayat46@dummy.com,password123
budi.setiawan47@dummy.com,password123
wawan.nugroho48@dummy.com,password123
cahyo.pratiwi49@dummy.com,password123
budi.purnomo50@dummy.com,password123
kartika.wulandari51@dummy.com,password123
dewi.utami52@dummy.com,password123
qori.purnomo53@dummy.com,password123
nadia.setiawan54@dummy.com,password123
oscar.hidayat55@dummy.com,password123
yudi.saputra56@dummy.com,password123
vina.santoso57@dummy.com,password123
farhan.saputra58@dummy.com,password123
farhan.hartono59@dummy.com,password123
teguh.setiawan60@dummy.com,password123
kartika.saputra61@dummy.com,password123
bella.hidayat62@dummy.com,password123
andi.purnomo63@dummy.com,password123
wawan.putri64@dummy.com,password123
budi.utami65@dummy.com,password123
bella.purnomo66@dummy.com,password123
eka.saputra67@dummy.com,password123
indah.putri68@dummy.com,password123
farhan.lestari69@dummy.com,password123
nadia.pratiwi70@dummy.com,password123
xena.santoso71@dummy.com,password123
teguh.mulyani72@dummy.com,password123
sari.wulandari73@dummy.com,password123
zahra.gunawan74@dummy.com,password123
sari.mulyani75@dummy.com,password123
agus.hartono76@dummy.com,password123
farhan.wijaya77@dummy.com,password123
oscar.utami78@dummy.com,password123
rudi.putri79@dummy.com,password123
yudi.saputra80@dummy.com,password123
putri.gunawan81@dummy.com,password123
wawan.utami82@dummy.com,password123
budi.saputra83@dummy.com,password123
citra.lestari84@dummy.com,password123
oscar.hartono85@dummy.com,password123
putri.wulandari86@dummy.com,password123
citra.mulyani87@dummy.com,password123
oscar.kusuma88@dummy.com,password123
umi.utami89@dummy.com,password123
agus.putri90@dummy.com,password123
agus.putri91@dummy.com,password123
zahra.hartono92@dummy.com,password123
vina.pratiwi93@dummy.com,password123
dina.wulandari94@dummy.com,password123
wawan.santoso95@dummy.com,password123
wawan.hidayat96@dummy.com,password123
kartika.setiawan97@dummy.com,password123
eka.wijaya98@dummy.com,password123
qori.purnomo99@dummy.com,password123
vina.nugroho100@dummy.com,password123
dewi.saputra101@dummy.com,password123
joko.hartono102@dummy.com,password123
qori.utami103@dummy.com,password123
gita.saputra104@dummy.com,password123
